"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 01 10:43:00 GMT 2021","Sat May 01 10:43:00 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"skipped","Sat May 01 10:42:34 GMT 2021","Sat May 01 10:42:34 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"failed","Sat May 01 10:40:58 GMT 2021","Sat May 01 10:41:09 GMT 2021","10547","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"failed","Sat May 01 10:42:34 GMT 2021","Sat May 01 10:42:34 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openPage","openPage",""
"passed","Sat May 01 10:41:45 GMT 2021","Sat May 01 10:41:49 GMT 2021","3819","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"broken","Sat May 01 10:42:34 GMT 2021","Sat May 01 10:42:34 GMT 2021","0","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
"passed","Sat May 01 10:41:25 GMT 2021","Sat May 01 10:41:28 GMT 2021","2772","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 01 10:41:51 GMT 2021","Sat May 01 10:41:55 GMT 2021","3539","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"passed","Sat May 01 10:40:38 GMT 2021","Sat May 01 10:40:41 GMT 2021","2884","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 10:41:31 GMT 2021","Sat May 01 10:41:35 GMT 2021","4583","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"skipped","Sat May 01 10:42:21 GMT 2021","Sat May 01 10:42:21 GMT 2021","5","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 10:41:38 GMT 2021","Sat May 01 10:41:42 GMT 2021","3919","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"broken","Sat May 01 10:43:00 GMT 2021","Sat May 01 10:43:00 GMT 2021","0","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","cleanUp","cleanUp",""
"failed","Sat May 01 10:41:12 GMT 2021","Sat May 01 10:41:22 GMT 2021","10556","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"failed","Sat May 01 10:40:44 GMT 2021","Sat May 01 10:40:56 GMT 2021","11372","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 10:40:32 GMT 2021","Sat May 01 10:40:38 GMT 2021","6088","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"skipped","Sat May 01 10:42:08 GMT 2021","Sat May 01 10:42:08 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"failed","Sat May 01 10:43:00 GMT 2021","Sat May 01 10:43:00 GMT 2021","2","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openPage","openPage",""
"skipped","Sat May 01 10:42:47 GMT 2021","Sat May 01 10:42:47 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
