"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 01 12:46:08 GMT 2021","Sat May 01 12:46:11 GMT 2021","3233","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 12:47:15 GMT 2021","Sat May 01 12:47:19 GMT 2021","3770","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"failed","Sat May 01 12:46:42 GMT 2021","Sat May 01 12:46:53 GMT 2021","10595","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"failed","Sat May 01 12:46:14 GMT 2021","Sat May 01 12:46:25 GMT 2021","11372","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 01 12:46:56 GMT 2021","Sat May 01 12:46:59 GMT 2021","2807","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 01 12:46:01 GMT 2021","Sat May 01 12:46:07 GMT 2021","6230","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"skipped","Sat May 01 12:48:17 GMT 2021","Sat May 01 12:48:17 GMT 2021","5","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 01 12:47:01 GMT 2021","Sat May 01 12:47:06 GMT 2021","4516","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"broken","Sat May 01 12:48:30 GMT 2021","Sat May 01 12:48:30 GMT 2021","0","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","cleanUp","cleanUp",""
"skipped","Sat May 01 12:48:30 GMT 2021","Sat May 01 12:48:30 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"skipped","Sat May 01 12:48:04 GMT 2021","Sat May 01 12:48:04 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"failed","Sat May 01 12:48:30 GMT 2021","Sat May 01 12:48:30 GMT 2021","2","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openPage","openPage",""
"skipped","Sat May 01 12:47:38 GMT 2021","Sat May 01 12:47:38 GMT 2021","3","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"failed","Sat May 01 12:48:04 GMT 2021","Sat May 01 12:48:04 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openPage","openPage",""
"skipped","Sat May 01 12:47:51 GMT 2021","Sat May 01 12:47:51 GMT 2021","10","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"failed","Sat May 01 12:46:29 GMT 2021","Sat May 01 12:46:39 GMT 2021","10481","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 12:47:08 GMT 2021","Sat May 01 12:47:12 GMT 2021","3965","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"passed","Sat May 01 12:47:22 GMT 2021","Sat May 01 12:47:25 GMT 2021","3201","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"broken","Sat May 01 12:48:04 GMT 2021","Sat May 01 12:48:04 GMT 2021","0","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
