"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 11 14:51:52 GMT 2021","Tue May 11 14:51:56 GMT 2021","4363","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"failed","Tue May 11 14:53:22 GMT 2021","Tue May 11 14:53:22 GMT 2021","2","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openPage","openPage",""
"passed","Tue May 11 14:50:56 GMT 2021","Tue May 11 14:50:59 GMT 2021","3446","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Tue May 11 14:52:12 GMT 2021","Tue May 11 14:52:16 GMT 2021","3727","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"skipped","Tue May 11 14:52:43 GMT 2021","Tue May 11 14:52:43 GMT 2021","9","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Tue May 11 14:51:59 GMT 2021","Tue May 11 14:52:03 GMT 2021","3727","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"passed","Tue May 11 14:51:46 GMT 2021","Tue May 11 14:51:49 GMT 2021","2917","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Tue May 11 14:50:50 GMT 2021","Tue May 11 14:50:55 GMT 2021","5645","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"failed","Tue May 11 14:51:32 GMT 2021","Tue May 11 14:51:43 GMT 2021","10578","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"skipped","Tue May 11 14:53:09 GMT 2021","Tue May 11 14:53:09 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"failed","Tue May 11 14:52:56 GMT 2021","Tue May 11 14:52:56 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openPage","openPage",""
"failed","Tue May 11 14:51:18 GMT 2021","Tue May 11 14:51:28 GMT 2021","10655","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"skipped","Tue May 11 14:52:56 GMT 2021","Tue May 11 14:52:56 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"broken","Tue May 11 14:52:56 GMT 2021","Tue May 11 14:52:56 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
"broken","Tue May 11 14:53:22 GMT 2021","Tue May 11 14:53:22 GMT 2021","0","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","cleanUp","cleanUp",""
"skipped","Tue May 11 14:53:22 GMT 2021","Tue May 11 14:53:22 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"skipped","Tue May 11 14:52:29 GMT 2021","Tue May 11 14:52:29 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"failed","Tue May 11 14:51:03 GMT 2021","Tue May 11 14:51:14 GMT 2021","11432","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Tue May 11 14:52:06 GMT 2021","Tue May 11 14:52:09 GMT 2021","3516","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
