"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 08 07:12:31 GMT 2021","Sat May 08 07:12:34 GMT 2021","3031","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"skipped","Sat May 08 07:12:46 GMT 2021","Sat May 08 07:12:46 GMT 2021","3","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"skipped","Sat May 08 07:12:58 GMT 2021","Sat May 08 07:12:58 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"broken","Sat May 08 07:13:11 GMT 2021","Sat May 08 07:13:11 GMT 2021","0","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
"failed","Sat May 08 07:11:55 GMT 2021","Sat May 08 07:12:06 GMT 2021","10524","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 08 07:12:13 GMT 2021","Sat May 08 07:12:17 GMT 2021","4141","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"passed","Sat May 08 07:11:19 GMT 2021","Sat May 08 07:11:23 GMT 2021","4123","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 08 07:12:25 GMT 2021","Sat May 08 07:12:29 GMT 2021","3525","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"broken","Sat May 08 07:13:35 GMT 2021","Sat May 08 07:13:35 GMT 2021","0","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","cleanUp","cleanUp",""
"failed","Sat May 08 07:11:42 GMT 2021","Sat May 08 07:11:53 GMT 2021","10466","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"skipped","Sat May 08 07:13:35 GMT 2021","Sat May 08 07:13:35 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"failed","Sat May 08 07:13:35 GMT 2021","Sat May 08 07:13:35 GMT 2021","1","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openPage","openPage",""
"failed","Sat May 08 07:13:11 GMT 2021","Sat May 08 07:13:11 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openPage","openPage",""
"skipped","Sat May 08 07:13:23 GMT 2021","Sat May 08 07:13:23 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"passed","Sat May 08 07:11:24 GMT 2021","Sat May 08 07:11:26 GMT 2021","2169","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"skipped","Sat May 08 07:13:11 GMT 2021","Sat May 08 07:13:11 GMT 2021","1","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"failed","Sat May 08 07:11:29 GMT 2021","Sat May 08 07:11:40 GMT 2021","11289","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Sat May 08 07:12:08 GMT 2021","Sat May 08 07:12:11 GMT 2021","2762","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Sat May 08 07:12:19 GMT 2021","Sat May 08 07:12:23 GMT 2021","3652","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
