"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 14 04:23:40 GMT 2021","Wed Apr 14 04:23:40 GMT 2021","177","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"failed","Wed Apr 14 04:21:40 GMT 2021","Wed Apr 14 04:22:01 GMT 2021","21008","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"failed","Wed Apr 14 04:23:24 GMT 2021","Wed Apr 14 04:23:37 GMT 2021","12731","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"failed","Wed Apr 14 04:22:01 GMT 2021","Wed Apr 14 04:22:14 GMT 2021","12230","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"failed","Wed Apr 14 04:23:10 GMT 2021","Wed Apr 14 04:23:21 GMT 2021","10695","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Wed Apr 14 04:22:17 GMT 2021","Wed Apr 14 04:22:20 GMT 2021","3204","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"passed","Wed Apr 14 04:22:32 GMT 2021","Wed Apr 14 04:22:36 GMT 2021","4231","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
"passed","Wed Apr 14 04:22:46 GMT 2021","Wed Apr 14 04:22:49 GMT 2021","3369","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"broken","Wed Apr 14 04:23:46 GMT 2021","Wed Apr 14 04:23:46 GMT 2021","0","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","cleanUp","cleanUp",""
"failed","Wed Apr 14 04:22:52 GMT 2021","Wed Apr 14 04:23:04 GMT 2021","11403","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"passed","Wed Apr 14 04:22:39 GMT 2021","Wed Apr 14 04:22:43 GMT 2021","3800","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"broken","Wed Apr 14 04:23:07 GMT 2021","Wed Apr 14 04:23:07 GMT 2021","176","Petland Admin","Login Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Wed Apr 14 04:22:24 GMT 2021","Wed Apr 14 04:22:29 GMT 2021","4303","Petland Admin","Login Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"broken","Wed Apr 14 04:23:43 GMT 2021","Wed Apr 14 04:23:43 GMT 2021","139","Petland Admin","Login Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
