"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat May 01 03:44:49 GMT 2021","Sat May 01 03:44:49 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testDeleteCategory","testDeleteCategory",""
"passed","Sat May 01 03:43:55 GMT 2021","Sat May 01 03:43:58 GMT 2021","3076","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testDeleteUser","testDeleteUser",""
"skipped","Sat May 01 03:44:49 GMT 2021","Sat May 01 03:44:49 GMT 2021","3","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testAddSubCategory","testAddSubCategory",""
"failed","Sat May 01 03:44:49 GMT 2021","Sat May 01 03:44:49 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","openUserPage","openUserPage",""
"passed","Sat May 01 03:43:20 GMT 2021","Sat May 01 03:43:30 GMT 2021","10463","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testLoginSuccessfully","testLoginSuccessfully",""
"passed","Sat May 01 03:43:33 GMT 2021","Sat May 01 03:43:36 GMT 2021","2673","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testCreateUser","testCreateUser",""
"failed","Sat May 01 03:44:00 GMT 2021","Sat May 01 03:44:11 GMT 2021","11073","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testAddCategory","testAddCategory",""
"skipped","Sat May 01 03:44:49 GMT 2021","Sat May 01 03:44:49 GMT 2021","2","Petland Admin","Subcategory Page","test.TestSubCategoryPage","test.TestSubCategoryPage","testUpdateCategory","testUpdateCategory",""
"passed","Sat May 01 03:43:49 GMT 2021","Sat May 01 03:43:53 GMT 2021","3387","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUnLockUser","testUnLockUser",""
"passed","Sat May 01 03:43:38 GMT 2021","Sat May 01 03:43:42 GMT 2021","4303","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testUpdateUser","testUpdateUser",""
"skipped","Sat May 01 03:45:00 GMT 2021","Sat May 01 03:45:00 GMT 2021","4","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testVerifyPost","testVerifyPost",""
"failed","Sat May 01 03:44:13 GMT 2021","Sat May 01 03:44:24 GMT 2021","10497","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testUpdateCategory","testUpdateCategory",""
"failed","Sat May 01 03:45:00 GMT 2021","Sat May 01 03:45:00 GMT 2021","3","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","openUserPage","openUserPage",""
"failed","Sat May 01 03:44:26 GMT 2021","Sat May 01 03:44:36 GMT 2021","10473","Petland Admin","Category Page","test.TestCategoryPage","test.TestCategoryPage","testDeleteCategory","testDeleteCategory",""
"skipped","Sat May 01 03:45:00 GMT 2021","Sat May 01 03:45:00 GMT 2021","4","Petland Admin","Post Page","test.TestPostPage","test.TestPostPage","testDeclinePost","testDeclinePost",""
"passed","Sat May 01 03:43:15 GMT 2021","Sat May 01 03:43:20 GMT 2021","4868","Petland Admin","Login Page","test.TestLoginPage","test.TestLoginPage","testRequiredLogin","testRequiredLogin",""
"passed","Sat May 01 03:43:44 GMT 2021","Sat May 01 03:43:47 GMT 2021","3338","Petland Admin","User Page","test.TestUserPage","test.TestUserPage","testLockUser","testLockUser",""
